ID,IP,DATATIME,TOTALUSAGE
"6602686","102.200.218.193","2023-02-03 10:48",1.02
"6602687","102.200.218.193","2023-02-03 10:47",1.14
"6602688","102.200.218.193","2023-02-03 10:46",0.91
"6602689","102.200.218.193","2023-02-03 10:45",0.99
"6602690","102.200.218.193","2023-02-03 10:44",0.98
"6602691","102.200.218.193","2023-02-03 10:43",0.87
"6602692","102.200.218.193","2023-02-03 10:42",1.1
"6602693","102.200.218.193","2023-02-03 10:41",0.82
"6602694","102.200.218.193","2023-02-03 10:40",1.05
"6602695","102.200.218.193","2023-02-03 10:39",1.07
"6602696","102.200.218.193","2023-02-03 10:38",1.06
"6602697","102.200.218.193","2023-02-03 10:37",0.98
"6602698","102.200.218.193","2023-02-03 10:36",1.33
"6602699","102.200.218.193","2023-02-03 10:35",19.7
"6602700","102.200.218.193","2023-02-03 10:34",16.94
"6602701","102.200.218.193","2023-02-03 10:33",9.49
"6602702","102.200.218.193","2023-02-03 10:31",14.77
"6602703","102.200.218.193","2023-02-03 10:30",1.21
"6602704","102.200.218.193","2023-02-03 10:29",0.83
"6602705","102.200.218.193","2023-02-03 10:28",0.97
"6602706","102.200.218.193","2023-02-03 10:27",0.78
"6602707","102.200.218.193","2023-02-03 10:26",0.91
"6602708","102.200.218.193","2023-02-03 10:25",0.83
"6602709","102.200.218.193","2023-02-03 10:24",1.01
"6602710","102.200.218.193","2023-02-03 10:23",0.78
"6602711","102.200.218.193","2023-02-03 10:22",1.01
"6602712","102.200.218.193","2023-02-03 10:21",0.77
"6602713","102.200.218.193","2023-02-03 10:20",1.03
"6602714","102.200.218.193","2023-02-03 10:19",0.71
"6602715","102.200.218.193","2023-02-03 10:18",0.95
"6602716","102.200.218.193","2023-02-03 10:17",0.8
"6602717","102.200.218.193","2023-02-03 10:15",1.05
"6602718","102.200.218.193","2023-02-03 10:14",1.42
"6602719","102.200.218.193","2023-02-03 10:13",1.01
"6602720","102.200.218.193","2023-02-03 10:12",0.98
"6602721","102.200.218.193","2023-02-03 10:11",0.78
"6602722","102.200.218.193","2023-02-03 10:10",1.11
"6602723","102.200.218.193","2023-02-03 10:09",0.75
"6602724","102.200.218.193","2023-02-03 10:08",0.97
"6602725","102.200.218.193","2023-02-03 10:07",0.83
"6602726","102.200.218.193","2023-02-03 10:06",0.94
"6602727","102.200.218.193","2023-02-03 10:05",0.83
"6602728","102.200.218.193","2023-02-03 10:04",0.96
"6602729","102.200.218.193","2023-02-03 10:03",0.89
"6602730","102.200.218.193","2023-02-03 10:02",0.97
"6602731","102.200.218.193","2023-02-03 10:01",0.81
"6602732","102.200.218.193","2023-02-03 10:00",1.18
"6602733","102.200.218.193","2023-02-03 09:59",0.89
